word,frequency,category
food,1639,other
staff,1183,service
great,1100,other
service,1068,service
good,945,other
place,782,environment
really,747,other
friendly,718,service
nice,624,other
time,607,other
experience,594,other
would,540,other
lovely,523,other
back,498,other
like,482,other
recommend,481,other
amazing,473,other
made,457,other
one,451,other
also,449,other
well,428,other
definitely,423,other
coffee,394,other
birmingham,373,other
atmosphere,356,environment
always,355,other
get,352,other
even,351,other
delicious,345,taste
drinks,335,other
absolutely,311,other
visit,305,other
restaurant,293,other
went,290,other
order,288,other
best,288,other
chicken,283,food
ordered,273,other
quality,270,other
highly,265,other
could,255,other
customer,249,other
menu,248,other
helpful,245,service
come,245,other
came,244,other
excellent,236,other
fresh,234,taste
first,233,other
much,233,other
people,231,other
got,231,other
little,226,other
feel,225,other
meal,224,other
overall,223,other
bar,223,other
clean,222,environment
thank,221,other
bit,218,other
perfect,213,other
hot,211,other
drink,210,other
served,210,other
day,209,other
everything,206,other
better,204,other
area,203,other
try,200,other
love,200,other
night,198,other
fantastic,195,other
table,191,other
busy,189,other
breakfast,189,other
room,189,other
shop,187,other
taste,184,taste
every,182,other
see,181,other
price,180,other
around,179,other
small,179,other
attentive,178,service
tasty,177,taste
welcoming,174,other
never,174,other
make,173,other
warm,173,other
work,171,other
cafe,168,other
new,165,other
quite,164,other
prices,164,other
especially,162,other
right,160,other
location,158,other
next,157,other
however,157,other
super,155,other
quick,155,service
say,152,other
spot,152,other
full,151,other
way,150,other
away,150,other
visited,150,other
two,149,other
worth,147,other
going,146,other
inside,145,other
looking,144,other
said,144,other
special,144,other
big,143,other
sure,143,other
wait,141,other
making,141,other
coming,140,other
take,140,other
still,140,other
options,138,other
top,137,other
find,136,other
asked,135,other
eat,135,other
many,135,other
ever,134,other
today,134,other
minutes,133,other
lunch,132,other
money,131,other
cooked,130,other
seating,129,other
friends,129,other
felt,128,other
something,128,other
free,128,other
left,128,other
selection,128,other
beautiful,128,other
times,128,other
long,127,other
hotel,125,other
though,125,other
wonderful,125,other
enjoyed,125,other
store,124,other
recommended,122,other
outside,121,other
kind,121,other
tea,120,other
tables,120,other
evening,120,other
nothing,120,other
chips,119,other
dishes,119,other
sauce,118,other
pub,118,other
happy,118,other
pizza,117,food
team,117,other
different,116,other
disappointed,116,other
city,115,other
want,115,other
took,115,other
street,114,other
looked,114,other
without,113,other
customers,112,other
family,111,other
pay,110,other
tried,110,other
venue,110,other
stay,110,other
enough,110,other
centre,110,other
burger,109,food
need,108,other
cold,108,other
flavour,108,taste
told,108,other
portion,107,other
whole,106,other
value,106,other
loved,106,other
think,106,other
high,106,other
available,105,other
another,105,other
know,105,other
last,104,other
rice,104,food
anyone,103,other
dish,101,other
music,100,other
station,99,other
decent,99,other
plenty,99,other
gave,99,other
birthday,96,other
bad,96,other
give,96,other
home,96,other
lots,95,other
polite,94,other
arrived,94,other
fries,94,other
large,94,other
presented,93,other
look,93,other
member,92,other
choice,92,other
space,91,other
care,91,other
must,90,other
tasted,90,other
enjoy,89,other
welcome,89,other
done,89,other
extremely,89,other
truly,89,other
portions,89,other
incredibly,89,other
dining,88,other
thanks,88,other
use,87,other
perfectly,87,other
found,87,other
wanted,87,other
years,86,other
honestly,86,other
beer,86,other
variety,86,other
friend,86,other
extra,86,other
side,85,other
lady,85,other
everyone,84,other
manager,84,other
exceptional,84,other
open,83,other
rude,82,service
put,80,other
recently,80,other
can't,80,other
cocktails,79,other
rooms,79,other
size,79,other
comfortable,79,other
fast,79,other
soon,78,other
parking,78,other
main,78,other
waiting,78,other
ask,78,other
given,77,other
lot,77,other
reasonable,77,other
hard,77,other
meat,76,other
check,76,other
brilliant,76,other
vegan,76,other
working,75,other
cheese,75,other
vibe,75,other
quickly,75,other
outstanding,75,other
quiet,75,environment
train,74,other
start,74,other
although,74,other
needed,74,other
beautifully,73,other
sweet,73,taste
point,72,other
sunday,72,other
thought,71,other
pleasant,71,other
moment,71,other
card,71,other
let,71,other
professional,70,other
decor,70,environment
places,70,other
afternoon,69,other
person,69,other
makes,69,other
half,69,other
return,69,other
authentic,68,other
chocolate,68,other
beyond,68,other
huge,67,other
ice,67,other
visiting,67,other
fun,66,other
review,66,other
priced,66,other
walk,66,other
trying,66,other
server,66,other
hours,66,other
easy,66,other
chinese,66,other
fish,65,food
flavours,65,other
brunch,65,other
house,64,other
beef,64,food
actually,64,other
getting,64,other
name,64,other
paid,64,other
walked,64,other
days,63,other
throughout,63,other
unfortunately,63,other
needs,63,other
pretty,63,other
dinner,62,other
someone,61,other
keep,61,other
kids,61,other
couple,61,other
costa,61,other
efficient,61,other
received,61,other
bread,61,other
meals,61,other
real,61,other
issue,61,other
old,60,other
usually,60,other
poor,60,other
clearly,60,other
milk,60,other
salad,60,food
range,60,other
serving,59,other
end,59,other
impressed,59,other
help,59,other
disappointing,59,other
crispy,58,other
enjoyable,58,other
items,58,other
due,58,other
booked,58,other
door,57,other
others,57,other
dessert,57,food
sit,57,other
curry,57,food
branch,56,other
called,56,other
offered,56,other
yet,56,other
short,56,other
thing,56,other
incredible,55,other
fine,55,other
generous,55,other
favourite,55,other
guys,55,other
anything,55,other
star,55,other
expensive,55,other
gem,55,other
since,55,other
cream,55,other
morning,54,other
desserts,54,other
things,54,other
hour,54,other
fried,54,other
bite,54,other
used,54,other
latte,54,other
front,53,other
reviews,53,other
far,53,other
greeted,53,other
white,53,other
smile,53,other
fault,53,other
lamb,53,other
offer,53,other
close,52,other
phone,52,other
else,52,other
second,52,other
wine,52,other
despite,52,other
option,52,other
within,52,other
relaxed,52,other
standard,52,other
members,51,other
saturday,51,other
waitress,51,service
whilst,51,other
car,51,other
floor,51,other
instead,51,other
expect,51,other
sat,51,other
cake,50,other
kept,50,other
helped,50,other
tell,50,other
deal,50,other
already,50,other
genuinely,50,other
cakes,50,other
provided,49,other
finish,49,other
local,49,other
group,49,other
sandwich,49,other
indian,49,other
stars,49,other
week,49,other
young,49,other
set,49,other
located,49,other
restaurants,49,other
level,48,other
ordering,48,other
business,48,other
attitude,48,other
treat,47,other
returning,47,other
sitting,47,other
takeaway,47,other
pint,47,other
vegetarian,47,other
across,47,other
job,47,other
maybe,47,other
whether,47,other
etc,46,other
partner,46,other
probably,46,other
added,46,other
course,46,other
flavor,46,taste
okay,46,other
decided,46,other
rich,46,other
dry,46,other
chef,46,other
often,46,other
attention,46,other
least,45,other
central,45,other
shopping,45,other
change,45,other
water,45,other
environment,45,other
leave,45,other
plus,45,other
please,45,other
completely,45,other
popped,44,other
expected,44,other
bullring,44,other
online,44,other
town,44,other
children,44,other
kitchen,44,other
early,44,other
later,44,other
wife,44,other
air,44,other
cup,44,other
rather,44,other
wrong,44,other
prepared,44,other
seemed,44,other
app,43,other
seated,43,other
style,43,other
amount,43,other
soft,43,other
light,43,other
toilets,43,other
avoid,43,other
considering,43,other
wings,42,other
inviting,42,other
able,42,other
view,42,other
guy,42,other
steak,42,food
appreciated,42,other
park,42,other
beers,42,other
interior,42,other
counter,42,other
clear,42,other
classic,42,other
hospitality,42,other
spicy,42,taste
cozy,41,environment
unique,41,other
delightful,41,other
looks,41,other
eating,41,other
waited,40,other
rest,40,other
sandwiches,40,other
taken,40,other
year,40,other
paying,40,other
average,40,other
accommodating,40,other
near,40,other
may,40,other
nearby,40,other
reasonably,39,other
taking,39,other
worst,39,other
stop,39,other
live,39,other
brought,39,other
forward,39,other
stayed,39,other
world,39,other
party,39,other
traditional,39,other
almost,39,other
either,39,other
including,39,other
buy,39,other
regular,38,other
ambience,38,environment
round,38,other
positive,38,other
ago,38,other
run,38,other
late,38,other
ingredients,38,other
part,38,other
burgers,38,other
heart,38,other
man,38,other
delivery,38,other
serve,37,other
wish,37,other
bought,37,other
spacious,37,other
slightly,37,other
charge,37,other
plate,37,other
outdoor,37,other
packed,37,other
offers,37,other
dirty,37,environment
perfection,37,other
machine,37,other
choose,36,other
stopped,36,other
mains,36,other
seats,36,other
products,36,other
reception,36,other
security,36,other
wide,36,other
snacks,36,other
matcha,36,other
waiter,36,service
eaten,36,other
absolute,36,other
knowledgeable,36,other
hand,35,other
shame,35,other
closed,35,other
stunning,35,other
straight,35,other
friday,35,other
awful,35,other
smooth,35,other
detail,35,other
wow,35,other
add,35,other
owner,35,other
setting,35,other
saw,35,other
games,35,other
awesome,35,other
months,35,other
hope,35,other
modern,35,other
cannot,35,other
show,35,other
there's,34,other
cosy,34,other
limited,34,other
reason,34,other
ended,34,other
bacon,34,other
lounge,34,other
sizes,34,other
disgusting,34,other
usual,34,other
fabulous,34,other
pasta,34,food
that's,34,other
black,34,other
booking,34,other
entire,34,other
convenient,34,other
started,34,other
notch,33,other
process,33,other
fairly,33,other
queue,33,other
chose,33,other
refund,33,other
finally,33,other
understand,33,other
past,33,other
toast,33,other
simple,33,other
guests,32,other
mention,32,other
play,32,other
bank,32,other
liked,32,other
empty,32,other
personal,32,other
seems,32,other
issues,32,other
three,32,other
seem,32,other
watch,32,other
orders,32,other
bed,32,other
starters,32,other
turned,32,other
pork,32,food
cool,31,other
students,31,other
uncomfortable,31,other
garden,31,other
building,31,other
basic,31,other
managed,31,other
massive,31,other
pick,31,other
egg,31,other
choices,31,other
honest,31,other
king,31,other
slow,31,service
ideal,31,other
proper,31,other
particularly,31,other
welcomed,31,other
touch,31,other
sausage,31,other
glass,30,other
oak,30,other
life,30,other
selly,30,other
might,30,other
toilet,30,other
fact,30,other
chat,30,other
bottomless,30,other
spend,30,other
rare,30,other
thoroughly,30,other
access,30,other
longer,30,other
using,30,other
giving,30,other
school,30,other
ready,30,other
buffet,30,other
behind,30,other
ambiance,30,other
chance,30,other
mixed,30,other
board,30,other
memorable,29,other
horrible,29,other
met,29,other
shops,29,other
easily,29,other
mix,29,other
support,29,other
cost,29,other
believe,29,other
girl,29,other
based,29,other
university,29,other
credit,29,other
nicely,29,other
plates,29,other
totally,29,other
quarter,29,other
feels,29,other
seen,29,other
refreshing,29,other
iced,29,other
filling,29,other
areas,28,other
tastes,28,other
walking,28,other
glad,28,other
hidden,28,other
upstairs,28,other
sushi,28,food
vibes,28,other
tender,28,other
event,28,other
lack,28,other
explained,28,other
simply,28,other
hit,28,other
flavors,28,other
jewellery,28,other
halal,28,other
grill,28,other
expectations,28,other
club,28,other
affordable,28,other
less,28,other
cheap,28,other
cash,28,other
company,28,other
system,28,other
impressive,28,other
thai,28,other
gluten,28,other
asking,27,other
till,27,other
call,27,other
five,27,other
establishment,27,other
occasion,27,other
recommendations,27,other
student,27,other
mins,27,other
surprised,27,other
exactly,27,other
flavorful,27,other
chairs,27,other
yummy,27,taste
starbucks,27,other
toppings,27,other
gone,27,other
butter,27,other
somewhere,27,other
energy,27,other
ate,26,other
together,26,other
several,26,other
talking,26,other
trip,26,other
english,26,other
hands,26,other
apart,26,other
spent,26,other
comes,26,other
fan,26,other
interesting,26,other
italian,26,other
cut,26,other
kebab,26,other
gets,26,other
soup,26,other
noodles,26,other
windows,26,other
potato,26,other
relaxing,26,other
cocktail,26,other
sides,26,other
sign,26,other
literally,26,other
edgbaston,26,other
freshly,26,other
subway,26,other
bring,25,other
barely,25,other
loud,25,other
box,25,other
break,25,other
presentation,25,other
sauces,25,other
upon,25,other
leaving,25,other
immediately,25,other
sorry,25,other
professionalism,25,other
cuisine,25,other
along,25,other
per,25,other
superb,25,other
sometimes,25,other
sleep,25,other
feeling,25,other
patient,25,other
canal,25,other
changed,25,other
via,25,other
checked,25,other
cleaned,25,other
lively,25,other
cute,25,other
oat,25,other
knew,24,other
flat,24,other
disappoint,24,other
note,24,other
effort,24,other
ladies,24,other
solid,24,other
courses,24,other
expecting,24,other
chai,24,other
certainly,24,other
single,24,other
catch,24,other
events,24,other
bright,24,other
problem,24,other
roast,24,other
seasoned,24,other
offering,24,other
juicy,24,other
weekend,24,other
beans,23,other
case,23,other
hair,23,other
garlic,23,other
rushed,23,other
multiple,23,other
regularly,23,other
seriously,23,other
matter,23,other
remember,23,other
bill,23,other
coffees,23,other
tidy,23,other
entrance,23,other
japanese,23,other
baguette,23,other
bag,23,other
spaces,23,other
stood,23,other
rush,23,other
seat,23,other
treated,23,other
opened,23,other
site,23,other
pastries,23,other
enter,23,other
facilities,23,other
downstairs,23,other
starter,23,other
playing,23,other
chill,23,other
genuine,23,other
road,23,other
appreciate,23,other
theatre,23,other
pre,23,other
disabled,23,other
ages,23,other
seeing,22,other
twice,22,other
platter,22,other
weeks,22,other
nights,22,other
difficult,22,other
tasting,22,other
included,22,other
move,22,other
properly,22,other
provide,22,other
market,22,other
number,22,other
popular,22,other
staying,22,other
accessible,22,other
placed,22,other
minute,22,other
similar,22,other
elsewhere,22,other
balanced,22,other
salmon,22,other
prawns,22,other
bathroom,22,other
cookies,21,other
express,21,other
pleasure,21,other
low,21,other
pop,21,other
mark,21,other
google,21,other
non,21,other
woman,21,other
game,21,other
grand,21,other
veggie,21,other
thoughtful,21,other
ensure,21,other
closing,21,other
middle,21,other
attended,21,other
comfy,21,other
strawberry,21,other
grab,21,other
step,21,other
comment,21,other
filled,21,other
fair,21,other
yesterday,21,other
tapas,21,other
mind,21,other
bland,21,other
future,21,other
true,21,other
noticed,21,other
child,21,other
difference,21,other
decorated,21,other
particular,21,other
creamy,21,other
husband,21,other
generally,20,other
eggs,20,other
questions,20,other
brand,20,other
ring,20,other
book,20,other
peas,20,other
surprise,20,other
guess,20,other
calm,20,other
missing,20,other
worked,20,other
celebrate,20,other
head,20,other
bull,20,other
none,20,other
vibrant,20,other
girls,20,other
sadly,20,other
cinema,20,other
karaoke,20,other
consistently,20,other
conditioning,20,other
rate,20,other
normal,20,other
opted,20,other
goes,20,other
product,20,other
texture,20,other
forgot,20,other
chefs,20,other
ones,20,other
hungry,20,other
delivered,20,other
trouble,20,other
gravy,20,other
satisfying,20,other
loads,20,other
match,20,other
sticky,20,other
prawn,19,other
doors,19,other
pizzas,19,other
bonus,19,other
fab,19,other
cappuccino,19,other
otherwise,19,other
watching,19,other
bother,19,other
shisha,19,other
tiny,19,other
son,19,other
plan,19,other
baked,19,other
various,19,other
waste,19,other
serves,19,other
wrap,19,other
general,19,other
month,19,other
balance,19,other
date,19,other
management,19,other
stand,19,other
art,19,other
worse,19,other
sports,19,other
pool,19,other
type,19,other
section,19,other
red,19,other
flavourful,19,other
shared,19,other
item,19,other
complimentary,19,other
milkshake,19,other
brown,19,other
bottle,19,other
safe,19,other
green,19,other
photos,18,other
grilled,18,other
checking,18,other
handled,18,other
self,18,other
pancakes,18,other
corner,18,other
arrive,18,other
chilli,18,other
picture,18,other
pounds,18,other
veg,18,other
informed,18,other
bigger,18,other
korean,18,other
meet,18,other
happened,18,other
takes,18,other
terrible,18,other
yes,18,other
impeccable,18,other
duck,18,other
blue,18,other
update,18,other
masala,18,other
write,18,other
casual,18,other
wedding,18,other
culinary,18,other
window,18,other
pricey,18,other
downside,18,other
delight,18,other
pieces,18,other
services,18,other
earlier,18,other
tap,18,other
shower,18,other
fully,18,other
onion,18,other
daughter,18,other
compared,18,other
charged,18,other
picked,18,other
church,18,other
suggest,17,other
communication,17,other
saying,17,other
unless,17,other
standards,17,other
four,17,other
asian,17,other
fruit,17,other
smell,17,other
salt,17,other
talk,17,other
spice,17,other
brum,17,other
glasses,17,other
bubble,17,other
gig,17,other
shawarma,17,other
menus,17,other
higher,17,other
arrival,17,other
dog,17,other
works,17,other
roll,17,other
lucky,17,other
situation,17,other
oil,17,other
share,17,other
possible,17,other
cheesecake,17,other
crunchy,17,other
cookie,17,other
meant,17,other
stuff,17,other
recent,17,other
ticket,17,other
ales,17,other
dont,17,other
code,17,other
bakery,17,other
terms,16,other
shout,16,other
adding,16,other
mum,16,other
gentleman,16,other
screen,16,other
refused,16,other
foods,16,other
hash,16,other
sent,16,other
photo,16,other
allowed,16,other
face,16,other
burrito,16,other
bars,16,other
spices,16,other
movie,16,other
unacceptable,16,other
british,16,other
uber,16,other
groups,16,other
overpriced,16,other
summer,16,other
hygiene,16,other
sort,16,other
mango,16,other
hear,16,other
harborne,16,other
ramen,16,food
biryani,16,other
running,16,other
sour,16,taste
impression,16,other
creating,16,other
lift,16,other
notice,16,other
maintained,16,other
comfort,16,other
eye,16,other
weather,16,other
explain,16,other
speak,16,other
peaceful,16,other
highlight,16,other
stairs,16,other
holiday,16,other
excited,16,other
juice,16,other
treats,16,other
returned,16,other
entry,16,other
noise,16,other
sister,16,other
desk,15,other
contact,15,other
walls,15,other
enjoying,15,other
mini,15,other
stock,15,other
bowl,15,other
relax,15,other
complaint,15,other
drive,15,other
improvement,15,other
miss,15,other
cats,15,other
apple,15,other
travel,15,other
alone,15,other
themed,15,other
ease,15,other
seafood,15,other
mouth,15,other
training,15,other
ale,15,other
putting,15,other
dumplings,15,other
meeting,15,other
bun,15,other
pictures,15,other
mistake,15,other
chain,15,other
airy,15,other
blown,15,other
rolls,15,other
dietary,15,other
providing,15,other
sets,15,other
avocado,15,other
double,15,other
crowd,15,other
wooden,15,other
everywhere,15,other
prefer,15,other
terrace,15,other
laid,15,other
advice,15,other
passion,15,other
dropped,15,other
design,15,other
lacking,15,other
shoes,15,other
chilled,15,other
knowledge,15,other
indoor,15,other
normally,14,other
experiences,14,other
requested,14,other
tonight,14,other
nearly,14,other
skills,14,other
idea,14,other
warmth,14,other
reading,14,other
moving,14,other
shocking,14,other
helping,14,other
wheelchair,14,other
stress,14,other
ensuring,14,other
shoutout,14,other
passing,14,other
smaller,14,other
planning,14,other
spring,14,other
conversation,14,other
views,14,other
recommending,14,other
temperature,14,other
gorgeous,14,other
recommendation,14,other
layout,14,other
list,14,other
attached,14,other
deep,14,other
happen,14,other
patience,14,other
sense,14,other
collection,14,other
loyal,14,other
finished,14,other
burnt,14,other
opinion,14,other
bbq,14,food
collect,14,other
cafes,14,other
unreal,14,other
chewy,14,other
emma,14,other
spoke,14,other
deli,14,other
payment,14,other
lost,14,other
muffin,14,other
crust,14,other
class,14,other
stage,14,other
public,14,other
manner,14,other
personally,14,other
mess,14,other
anyway,14,other
showed,14,other
london,14,other
rock,14,other
negative,14,other
snack,14,other
die,14,other
purchase,14,other
anywhere,14,other
mailbox,14,other
buying,14,other
potatoes,13,other
barista,13,other
cleanliness,13,other
complaints,13,other
kindly,13,other
explore,13,other
mushroom,13,other
politely,13,other
wanting,13,other
deals,13,other
salty,13,taste
mine,13,other
stylish,13,other
nando,13,other
answer,13,other
vegetables,13,other
sausages,13,other
tomato,13,other
lighting,13,other
pass,13,other
waffle,13,other
satisfied,13,other
office,13,other
heard,13,other
mile,13,other
points,13,other
adds,13,other
stomach,13,other
slice,13,other
social,13,other
craving,13,other
reservation,13,other
stated,13,other
key,13,other
host,13,other
history,13,other
smiles,13,other
journey,13,other
kindness,13,other
heat,13,other
medium,13,other
information,13,other
opposite,13,other
nobody,13,other
sorted,13,other
zero,13,other
guinness,13,other
standout,13,other
broken,13,other
charm,13,other
dough,13,other
onto,13,other
servers,13,other
blend,13,other
strong,13,other
drinking,13,other
unforgettable,13,other
crafted,13,other
branches,13,other
advertised,13,other
soggy,13,other
mainly,13,other
rating,13,other
experienced,13,other
sound,13,other
larger,13,other
roof,12,other
noisy,12,environment
dine,12,other
sized,12,other
craft,12,other
favorite,12,other
soul,12,other
homemade,12,other
says,12,other
men,12,other
previous,12,other
wetherspoons,12,other
writing,12,other
kfc,12,other
known,12,other
occasions,12,other
dark,12,other
treatment,12,other
gift,12,other
promptly,12,other
involved,12,other
website,12,other
exceeded,12,other
dance,12,other
spots,12,other
paneer,12,other
mostly,12,other
receipt,12,other
frustrating,12,other
separate,12,other
bone,12,other
digbeth,12,other
apology,12,other
browns,12,other
bits,12,other
eventually,12,other
ceiling,12,other
fluffy,12,other
sharing,12,other
means,12,other
caramel,12,other
visits,12,other
sun,12,other
plants,12,other
pain,12,other
toasted,12,other
french,12,other
forget,12,other
complete,12,other
healthy,12,other
regarding,12,other
gardens,12,other
crisp,12,other
standing,12,other
espresso,12,other
greek,12,other
trust,12,other
played,12,other
health,12,other
accept,12,other
pret,12,other
courteous,12,other
pride,12,other
sad,12,other
piece,12,other
respectful,12,other
tasteless,12,other
monday,12,other
varied,12,other
broad,12,other
spiced,12,other
original,12,other
lobster,12,other
dismissive,12,other
spotless,12,other
tough,12,other
tier,12,other
mac,12,other
museum,12,other
independent,12,other
ignored,12,other
happily,12,other
moved,12,other
correct,12,other
flavoursome,12,other
mean,12,other
obviously,12,other
private,12,other
hardly,12,other
engaging,12,other
important,12,other
crowded,12,other
stumbled,12,other
cod,12,other
greasy,12,other
goat,12,other
basically,11,other
advise,11,other
lights,11,other
exceptionally,11,other
improve,11,other
deeply,11,other
turn,11,other
response,11,other
workers,11,other
complain,11,other
knowing,11,other
distance,11,other
culture,11,other
selling,11,other
ruined,11,other
overcooked,11,other
calamari,11,other
fridge,11,other
hotels,11,other
advised,11,other
hall,11,other
staffs,11,other
followed,11,other
base,11,other
lunchtime,11,other
consistent,11,other
anniversary,11,other
extras,11,other
cleared,11,other
surprisingly,11,other
held,11,other
situated,11,other
post,11,other
remembered,11,other
defo,11,other
read,11,other
eats,11,other
ribs,11,other
safety,11,other
charming,11,other
banana,11,other
lid,11,other
shot,11,other
wines,11,other
sea,11,other
designed,11,other
tucked,11,other
baloci,11,other
certain,11,other
total,11,other
bin,11,other
caring,11,other
spoons,11,other
helen,11,other
clinic,11,other
serious,11,other
question,11,other
mushrooms,11,other
decide,11,other
aesthetic,11,other
turkish,11,other
center,11,other
nachos,11,other
budget,11,other
tone,11,other
overly,11,other
requests,11,other
pricing,11,other
fell,11,other
assistance,11,other
floors,11,other
imagine,11,other
handy,11,other
perhaps,11,other
community,11,other
equally,11,other
grateful,11,other
attentiveness,11,other
ahead,11,other
toby,11,other
hoping,11,other
appalling,11,other
policy,11,other
stuck,11,other
sold,11,other
speaking,11,other
pie,11,other
reasons,11,other
phoned,11,other
delay,11,other
approach,11,other
coach,11,other
jacket,11,other
peak,11,other
feedback,11,other
raise,11,other
cheaper,11,other
catching,11,other
shows,11,other
theme,11,other
session,11,other
cups,11,other
pubs,11,other
july,11,other
receive,11,other
nero,11,other
fit,11,other
sick,10,other
shift,10,other
age,10,other
combination,10,other
custard,10,other
act,10,other
prompt,10,other
megan,10,other
lover,10,other
chatty,10,other
adults,10,other
bouncers,10,other
signature,10,other
aggressive,10,other
passed,10,other
dress,10,other
stepped,10,other
tandoori,10,other
mother,10,other
bothered,10,other
fillings,10,other
thick,10,other
railway,10,other
spectacular,10,other
naan,10,other
pistachio,10,other
missed,10,other
deserves,10,other
disappointment,10,other
beauty,10,other
minimum,10,other
checkout,10,other
sample,10,other
create,10,other
lacked,10,other
sugar,10,other
ample,10,other
thinking,10,other
tom,10,other
screens,10,other
become,10,other
boy,10,other
fancy,10,other
aware,10,other
charging,10,other
reserved,10,other
towards,10,other
architecture,10,other
pulled,10,other
dealt,10,other
hopefully,10,other
respect,10,other
carvery,10,other
reliable,10,other
appealing,10,other
inn,10,other
appeared,10,other
reply,10,other
topped,10,other
smart,10,other
cajun,10,other
study,10,other
neither,10,other
bursting,10,other
tofu,10,other
stir,10,other
thursday,10,other
finishing,10,other
improved,10,other
answered,10,other
ballet,10,other
pots,10,other
details,10,other
plain,10,other
celebration,10,other
arms,10,other
unable,10,other
coconut,10,other
raspberry,10,other
syrup,10,other
tiramisu,10,other
loaded,10,other
disney,10,other
tired,10,other
joke,10,other
waiters,10,other
selfridges,10,other
alcohol,10,other
honey,10,other
timely,10,other
requirements,10,other
follow,10,other
informative,10,other
rav,10,other
pot,10,other
bags,10,other
mid,10,other
curries,10,other
extensive,10,other
caribbean,10,other
instantly,10,other
belly,10,other
receptionist,10,other
additional,10,other
machines,10,other
disappoints,10,other
patty,10,other
filthy,10,other
showing,10,other
account,10,other
cashier,10,other
campus,10,other
line,10,other
meats,10,other
costs,10,other
encountered,10,other
unpleasant,10,other
strongly,10,other
opening,10,other
female,10,other
depth,10,other
approachable,10,other
sourdough,10,other
meets,10,other
unprofessional,10,other
